Subject ,Name,Order,PosNeg,Period,Scent,Interactduration,Interact1zero,Subject2,Period2,Rest,Repetitive,Explore,Sleep,Vocal,Stress,Alert,Interacttotal
1,Alexi,EBC,N,Unscented toys,Control,0,0,1,No toys,222.9,53,7.4,103.6,13.2,19,386.5,NA
2,Apples,ECB,N,Unscented toys,Control,40,1,2,No toys,186.1,172.9,7.2,0,327.4,39,2.5,NA
3,Bambam,EBC,N,Unscented toys,Control,5,1,3,No toys,488,193.5,0,0,231.2,24,40,NA
4,Bambi,BEC,P,Unscented toys,Control,11,1,4,No toys,142.7,75.4,11.8,115.7,127.3,17,87.8,NA
5,Barney,CEB,N,Unscented toys,Control,15,1,5,No toys,173.2,0,54.8,0,105.5,28,3.7,NA
6,Barron,EBC,N,Unscented toys,Control,2,1,6,No toys,301.5,182.7,0,116.9,49.9,21,0,NA
7,Bella,CBE,N,Unscented toys,Control,19,1,7,No toys,0,166.3,0,0,145.2,30,0.7,NA
8,Ben,BEC,P,Unscented toys,Control,31,1,8,No toys,0,0,42.1,0,6.5,6,195.6,NA
9,Blossom,ECB,N,Unscented toys,Control,0,0,9,No toys,288.8,4.3,21.6,34.3,94.6,11,46.2,NA
10,Boily,EBC,N,Unscented toys,Control,0,0,10,No toys,0,39.9,17.7,0,46.4,14,181.5,NA
11,Bramble,BCE,P,Unscented toys,Control,7,1,11,No toys,77.7,73.3,12.9,0,136.6,8,27.1,NA
12,Buttons,EBC,N,Unscented toys,Control,5,1,12,No toys,91.7,17,4.9,7.5,107.1,27,0,NA
13,Charlie,CBE,N,Unscented toys,Control,0,0,13,No toys,0,28.4,5.3,0,28.9,11,134.1,NA
14,Cooper,BCE,P,Unscented toys,Control,5,1,14,No toys,193,175.2,0,200.8,174.8,14,8.4,NA
15,Copper,ECB,N,Unscented toys,Control,15,1,15,No toys,0,113,11.8,0,134.6,9,24.9,NA
16,Diesel,BCE,P,Unscented toys,Control,3,1,16,No toys,112.7,90.8,60.5,0,115.8,9,9.2,NA
17,Foster,BEC,P,Unscented toys,Control,1,1,17,No toys,0,398.2,15.9,0,0,2,78.5,NA
18,Jeb,ECB,N,Unscented toys,Control,0,0,18,No toys,30,0,6.7,0,49.8,10,181.2,NA
19,Laddy,CEB,N,Unscented toys,Control,14,1,19,No toys,0,297.7,11,0,201.5,9,14,NA
20,Lexi,BCE,P,Unscented toys,Control,1,1,20,No toys,0,26.6,0,0,2.5,2,14.8,NA
21,Maisy,EBC,N,Unscented toys,Control,4,1,21,No toys,0,0,16.7,0,62.4,6,111,NA
22,Moon,ECB,N,Unscented toys,Control,0,0,22,No toys,311.8,26.6,3.6,0,68,10,454.4,NA
23,Mors,CEB,N,Unscented toys,Control,2,1,23,No toys,0,57.3,0,0,591.5,11,156.1,NA
24,Niki,BEC,P,Unscented toys,Control,0,0,24,No toys,36.9,100,0,0,189.4,2,67.4,NA
25,Olli,BCE,P,Unscented toys,Control,2,1,25,No toys,0,48,0,62.7,210.2,7,0,NA
26,Pickles,ECB,N,Unscented toys,Control,1,1,26,No toys,102.1,12.1,102.4,121.5,289.5,4,198.4,NA
27,Ricky,CBE,N,Unscented toys,Control,28,1,27,No toys,101.3,239,44.8,0,197.7,5,110.1,NA
28,Rocky,BEC,P,Unscented toys,Control,0,0,28,No toys,0,307,99.9,0,717.6,2,170,NA
29,Rolly,BEC,P,Unscented toys,Control,5,1,29,No toys,0,0,0,0,207.9,9,0,NA
30,Russel,BEC,P,Unscented toys,Control,2,1,30,No toys,0,634.8,102.3,0,506.3,1,98.1,NA
31,Rusty,ECB,N,Unscented toys,Control,0,0,31,No toys,75,0,46,0,99.9,9,148.4,NA
32,Samson,CEB,N,Unscented toys,Control,8,1,32,No toys,81.4,0,105.7,82.1,607.2,6,123.5,NA
33,Sandy,BCE,P,Unscented toys,Control,56,1,33,No toys,27.9,885.3,161.7,91.1,557.7,0,148.5,NA
34,Shaddow,ECB,N,Unscented toys,Control,0,0,34,No toys,368.5,0,80.4,0,400.1,8,222.2,NA
